timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-07T00:13:47.698399+00:00,epoll-run-1,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,1,10.0,2000.0,128,180001,18000.1,180001,17997.4,1620009,161976.7,1.0,180001,0.196598,1.496631,5.655388,47.7,0.9855135867837816,0,0,
2026-08-07T00:14:00.262777+00:00,epoll-run-1,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,2,10.0,2000.0,128,179996,17999.6,179996,17999.6,1619964,161977.4,1.0,179996,0.22230650000000002,1.8430155,6.2042040999999895,46.9,0.9743142945808358,0,0,
2026-08-07T00:14:12.905457+00:00,epoll-run-1,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,3,10.0,2000.0,128,179986,17998.6,179986,17998.6,1619874,161983.7,1.0,179986,0.20557550000000002,1.37531275,5.5537126999999895,48.1,0.9809861294343136,0,0,
