timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-07T00:15:06.375655+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,50,1,10.0,200.0,128,87923,8792.3,9312,931.2,3804873,380374.2,0.8831644664963104,9312,0.3740745,4.373496299999995,10.42784813999999,55.00000000000001,1.0479445540113375,8,10075,disconnect fd=54 username=bench-49 reason=slow client: chat message output queue overflow pending=16332 peak=16332 | disconnect fd=17 username=bench-12 reason=slow client: chat message output queue overflow pending=16328 peak=16328 | disconnect fd=23 username=bench-18 reason=slow client: chat message output queue overflow pending=16212 peak=16328 | disconnect fd=31 username=bench-26 reason=slow client: chat message output queue overflow pending=16212 peak=16328 | disconnect fd=33 username=bench-28 reason=slow client: chat message output queue overflow pending=16212 peak=16328 | disconnect fd=35 username=bench-30 reason=slow client: chat message output queue overflow pending=16212 peak=16328 | disconnect fd=37 username=bench-32 reason=slow client: chat message output queue overflow pending=16212 peak=16328 | disconnect fd=39 username=bench-34 reason=slow client: chat message output queue overflow pending=16212 peak=16328
2026-08-07T00:15:16.696111+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,50,2,10.0,200.0,128,97992,9799.2,97992,9797.1,4801608,479971.5,1.0,97992,0.415038,1.7721590999999999,2.780031449999993,95.7,0.530239479849115,0,0,
2026-08-07T00:15:27.057748+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,50,3,10.0,200.0,128,98000,9800.0,98000,9799.5,4802000,480058.5,1.0,98000,0.264036,1.1697383500000003,2.675172729999971,94.10000000000001,0.4030604395666162,0,0,
