timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-07T00:16:09.293589+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,500,1,10.0,2.0,128,9980,998.0,9980,996.5,4980020,497403.4,1.0,9980,11.108377,17.179183899999998,19.47229716999999,98.4,4.672023360035381,0,0,
2026-08-07T00:16:19.989518+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,500,2,10.0,2.0,128,9980,998.0,9980,997.1,4980020,497317.1,1.0,9980,11.9764885,38.373377349999906,58.61323884999942,98.00000000000001,5.298554968612732,0,0,
2026-08-07T00:16:30.749441+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,500,3,10.0,2.0,128,9975,997.5,9975,997.0,4977525,497360.6,1.0,9975,11.17281,18.3551125,29.503528180000014,97.5,5.306845490122214,0,0,
