timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-07T00:15:37.588762+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,100,1,10.0,60.0,128,59400,5940.0,59400,5939.9,5880600,587893.0,1.0,59400,0.5330839999999999,3.539243499999999,7.853040570000022,98.5,0.6619876963668497,0,0,
2026-08-07T00:15:47.948590+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,100,2,10.0,60.0,128,59400,5940.0,59400,5939.7,5880600,587908.2,1.0,59400,0.4144645,2.145410699999999,3.9405090100000053,98.80000000000001,0.43864182080142083,0,0,
2026-08-07T00:15:58.315627+00:00,epoll-run-1-no-warmup,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,100,3,10.0,60.0,128,58802,5880.2,58800,5879.7,5762420,576116.9,0.9898687566113844,58800,0.42735199999999995,1.998001149999999,3.186196470000003,98.00000000000001,0.44333697878755596,1,598,disconnect fd=5 username=bench-0 reason=slow client: chat message output queue overflow pending=16257 peak=16257
