timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-07-31T07:44:41.991462+00:00,poll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,50,1,10.0,200.0,128,97997,9799.7,97997,9799.7,4801853,480067.1,1.0,97997,0.329968,0.7854943999999999,1.993083399999991,59.099999999999994,0.9935976937413216,0,0,
2026-07-31T07:44:54.494138+00:00,poll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,50,2,10.0,200.0,128,98000,9800.0,98000,9799.5,4802000,480071.8,1.0,98000,0.33711800000000003,0.9835098000000002,2.4153110499999983,72.2,0.9201054315781221,0,0,
2026-07-31T07:45:07.005630+00:00,poll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,50,3,10.0,200.0,128,97996,9799.6,97996,9799.6,4801804,480115.0,1.0,97996,0.2841725,0.779162,1.835733750000022,66.7,0.9607874526409432,0,0,
