timestamp_utc,label,server,workload,clients,load_workers,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-07T00:50:39.100849+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,100,2,1,10.0,60.0,128,53621,5362.1,53591,5358.8,4818013,481670.4,0.9076070565598922,53591,0.4649,2.2414579999999997,10.652207399999902,80.7,0.9139698522631079,15,5779,disconnect fd=54 username=bench-49 reason=slow client: chat message output queue overflow pending=16321 peak=16321 | disconnect fd=58 username=bench-53 reason=slow client: chat message output queue overflow pending=16378 peak=16378 | disconnect fd=60 username=bench-55 reason=slow client: chat message output queue overflow pending=16378 peak=16378 | disconnect fd=71 username=bench-66 reason=slow client: chat message output queue overflow pending=16378 peak=16378 | disconnect fd=5 username=bench-0 reason=slow client: chat message output queue overflow pending=16275 peak=16275 | disconnect fd=6 username=bench-1 reason=slow client: chat message output queue overflow pending=16275 peak=16275 | disconnect fd=8 username=bench-3 reason=slow client: chat message output queue overflow pending=16275 peak=16275 | disconnect fd=10 username=bench-5 reason=slow client: chat message output queue overflow pending=16275 peak=16275 | disconnect fd=12 username=bench-7 reason=slow client: chat message output queue overflow pending=16275 peak=16275 | disconnect fd=14 username=bench-9 reason=slow client: chat message output queue overflow pending=16275 peak=16275 | disconnect fd=16 username=bench-11 reason=slow client: chat message output queue overflow pending=16271 peak=16271 | disconnect fd=21 username=bench-16 reason=slow client: chat message output queue overflow pending=16271 peak=16271 | disconnect fd=44 username=bench-39 reason=slow client: chat message output queue overflow pending=16271 peak=16271 | disconnect fd=46 username=bench-41 reason=slow client: chat message output queue overflow pending=16271 peak=16271 | disconnect fd=49 username=bench-44 reason=slow client: chat message output queue overflow pending=16271 peak=16271
2026-08-07T00:50:51.588683+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,100,2,2,10.0,60.0,128,59401,5940.1,59401,5939.8,5880699,587861.8,1.0,59401,0.351957,0.856915,1.449143,93.69999999999999,0.5066818848717958,0,0,
2026-08-07T00:51:04.087145+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,100,2,3,10.0,60.0,128,59400,5940.0,59400,5939.8,5880600,587925.8,1.0,59400,0.350565,0.9363998499999981,1.7544232000000084,93.50000000000001,0.563471856003161,0,0,
