timestamp_utc,label,server,workload,clients,load_workers,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-07T00:49:23.636464+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,2,1,10.0,2000.0,128,179996,17999.6,179996,17999.4,1619964,161984.3,1.0,179996,0.283243,1.98906475,3.987892749999983,56.699999999999996,1.0635627622832544,0,0,
2026-08-07T00:49:36.192258+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,2,2,10.0,2000.0,128,179997,17999.7,179997,17999.1,1619973,161960.3,1.0,179997,0.275779,2.178547799999999,4.550735360000007,55.00000000000001,1.0746814659796655,0,0,
2026-08-07T00:49:48.752432+00:00,epoll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,2,3,10.0,2000.0,128,179996,17999.6,179996,17998.4,1619964,161973.4,1.0,179996,0.247943,1.7193770000000002,3.8950016499999807,51.800000000000004,1.0460783742018975,0,0,
