timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-06T23:42:30.933180+00:00,epoll,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,1,10.0,2000.0,128,179993,17999.3,179993,17999.3,1619937,161989.4,1.0,179993,0.214877,2.2349493999999965,6.9182025199999995,48.699999999999996,0.977711100131273,0,0,
2026-08-06T23:42:43.501414+00:00,epoll,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,2,10.0,2000.0,128,179999,17999.9,179999,17999.9,1619991,161983.6,1.0,179999,0.207681,2.242230900000001,6.903168359999995,49.5,0.975166098214686,0,0,
2026-08-06T23:42:56.051871+00:00,epoll,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,3,10.0,2000.0,128,180000,18000.0,180000,17999.0,1620000,161985.0,1.0,180000,0.2368015,2.8622341,7.647565790000004,50.0,0.9718872082885353,0,0,
