timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-08-06T23:45:21.462959+00:00,epoll-smoke,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,2,1,1.0,3.0,0,6,6.0,6,6.0,6,6.0,1.0,6,0.248691,0.31976725,0.32501825,0.0,0.7814926721039228,0,0,
2026-08-06T23:45:23.321693+00:00,epoll-smoke,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,direct,10,1,1.0,3.0,0,30,30.0,30,30.0,30,30.0,1.0,30,0.17656149999999998,0.29860199999999987,0.5537426100000002,0.0,1.0320466215489432,0,0,
2026-08-06T23:45:25.179346+00:00,epoll-smoke,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,2,1,1.0,3.0,128,3,3.0,3,3.0,3,3.0,1.0,3,0.247735,0.2769859,0.27958598,0.0,0.8645951282233,0,0,
2026-08-06T23:45:27.036849+00:00,epoll-smoke,/home/dhruv/Documents/Programming/event-driven-chat-server/epoll/server,broadcast,10,1,1.0,3.0,128,27,27.0,27,27.0,243,243.0,1.0,27,0.412042,0.7646004,0.81895356,0.0,1.1098669783677906,0,0,
