timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-07-31T07:43:49.640283+00:00,poll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,10,1,10.0,2000.0,128,179983,17998.3,179983,17998.3,1619847,161975.4,1.0,179983,0.177262,2.5104533999999963,7.122511099999974,39.800000000000004,1.0091710602864623,0,0,
2026-07-31T07:44:02.172194+00:00,poll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,10,2,10.0,2000.0,128,180000,18000.0,180000,18000.0,1620000,161991.4,1.0,180000,0.1803995,4.068813499999989,8.054394560000006,38.699999999999996,1.0048713797004891,0,0,
2026-07-31T07:44:14.700555+00:00,poll-unlimited,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,10,3,10.0,2000.0,128,180000,18000.0,180000,17999.9,1620000,161996.3,1.0,180000,0.17848550000000002,3.3256871999999884,7.692384950000014,39.099999999999994,1.0046765703009441,0,0,
