timestamp_utc,label,server,workload,clients,run,duration_s,rate_per_client_s,payload_bytes,offered,offered_msg_s,completed,completed_by_deadline_msg_s,delivered,delivered_by_deadline_msg_s,delivery_ratio,latency_samples,p50_ms,p95_ms,p99_ms,server_cpu_percent,scheduler_lag_p95_ms,client_disconnects,send_errors,disconnect_reasons
2026-07-31T03:55:38.324014+00:00,poll,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,500,1,10.0,3.0,128,14966,1496.6,14966,1495.3,7468034,746198.0,1.0,14966,9.0671325,13.94806325,19.694642400000006,98.5,4.148231819272041,0,0,
2026-07-31T03:55:51.114352+00:00,poll,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,500,2,10.0,3.0,128,14969,1496.9,14969,1495.6,7469531,746228.7,1.0,14969,8.511676,14.016842199999992,26.337642319999993,97.2,3.9527409244328737,0,0,
2026-07-31T03:56:03.951277+00:00,poll,/home/dhruv/Documents/Programming/event-driven-chat-server/server,broadcast,500,3,10.0,3.0,128,14965,1496.5,14965,1495.3,7467535,746209.1,1.0,14965,8.087901,12.649018199999999,14.404436840000004,96.49999999999999,3.99648657767102,0,0,
